Source,Target,Type,Weight
1678418,145967056,Undirected,3
1678595,2969311,Undirected,1
1678622,1696085,Undirected,1
1678622,1745169,Undirected,1
1678633,145944286,Undirected,1
1678681,145967056,Undirected,1
1678771,145441632,Undirected,2
1679058,145967056,Undirected,4
1679177,1696085,Undirected,1
1679177,2844898,Undirected,1
1679177,2265578799,Undirected,1
1679177,2292402355,Undirected,3
1679209,38144094,Undirected,1
1679327,2740804,Undirected,2
1679327,47829900,Undirected,9
1679559,2091330,Undirected,2
1679559,145967056,Undirected,2
1679873,1922357988,Undirected,1
1680024,145967056,Undirected,1
1680046,1685292,Undirected,1
1680046,1688304,Undirected,2
1680046,1693598,Undirected,1
1680046,1698454,Undirected,1
1680046,1706280,Undirected,1
1680046,1729606,Undirected,5
1680046,1745169,Undirected,2
1680046,1768152,Undirected,3
1680046,1783667,Undirected,2
1680046,1793079,Undirected,1
1680046,1816112,Undirected,1
1680046,1891978,Undirected,2
1680046,2078869,Undirected,1
1680046,2173432,Undirected,1
1680046,2211263,Undirected,2
1680046,2667773,Undirected,1
1680046,2736665,Undirected,4
1680046,3052001,Undirected,1
1680046,3196815,Undirected,8
1680046,3348246,Undirected,5
1680046,8272223,Undirected,6
1680046,8796283,Undirected,1
1680046,15804717,Undirected,1
1680046,19231037,Undirected,5
1680046,22226408,Undirected,3
1680046,22265444,Undirected,5
1680046,24540695,Undirected,1
1680046,26198391,Undirected,18
1680046,32985843,Undirected,5
1680046,33528206,Undirected,1
1680046,34753746,Undirected,1
1680046,37564609,Undirected,2
1680046,39320489,Undirected,1
1680046,41016119,Undirected,1
1680046,46716149,Undirected,3
1680046,46974652,Undirected,2
1680046,48386120,Undirected,1
1680046,49678775,Undirected,1
1680046,50181423,Undirected,1
1680046,50720410,Undirected,1
1680046,51124166,Undirected,1
1680046,51214222,Undirected,4
1680046,51437774,Undirected,1
1680046,89982409,Undirected,1
1680046,91178037,Undirected,2
1680046,91506351,Undirected,2
1680046,103428583,Undirected,1
1680046,113916198,Undirected,1
1680046,144320672,Undirected,1
1680046,144426657,Undirected,1
1680046,144695232,Undirected,1
1680046,145346319,Undirected,4
1680046,145520115,Undirected,1
1680046,145897034,Undirected,2
1680046,151505981,Undirected,1
1680046,153153335,Undirected,5
1680046,1381595020,Undirected,1
1680046,1397221034,Undirected,1
1680046,1404214885,Undirected,1
1680046,1404302491,Undirected,1
1680046,1411426196,Undirected,1
1680046,1413931529,Undirected,1
1680046,1453887227,Undirected,1
1680046,1623995772,Undirected,1
1680046,1678348367,Undirected,2
1680046,1820791468,Undirected,1
1680046,2013951468,Undirected,1
1680046,2064405780,Undirected,2
1680046,2066036416,Undirected,6
1680046,2072782205,Undirected,6
1680046,2113373342,Undirected,2
1680046,2122564258,Undirected,1
1680046,2145536854,Undirected,2
1680046,2209206101,Undirected,3
1680046,2237422766,Undirected,2
1680046,2257101336,Undirected,1
1680046,2257216165,Undirected,11
1680046,2257268968,Undirected,5
1680046,2258225151,Undirected,1
1680046,2266957120,Undirected,1
1680046,2280143899,Undirected,2
1680046,2284223188,Undirected,1
1680046,2293466413,Undirected,1
1680133,2004068612,Undirected,2
1680133,2305027534,Undirected,1
1680165,49988044,Undirected,1
1680313,47829900,Undirected,1
1680473,145967056,Undirected,1
1680617,14737712,Undirected,1
1680749,144842921,Undirected,1
1681053,1731770,Undirected,1
1681053,37154480,Undirected,1
1681053,145023893,Undirected,9
1681053,2141316157,Undirected,15
1681053,2192723080,Undirected,1
1681236,8158505,Undirected,1
1681236,145944286,Undirected,1
1681506,144914078,Undirected,3
1681531,1713217,Undirected,1
1681554,38144094,Undirected,1
1681682,145784853,Undirected,5
1681978,1812881,Undirected,1
1681978,47829900,Undirected,1
1682058,38144094,Undirected,1
1682058,47829900,Undirected,1
1682058,145784853,Undirected,1
1682091,3027097,Undirected,5
1682091,49988044,Undirected,1
1682091,144344283,Undirected,1
1682091,2316152845,Undirected,1
1682124,1745169,Undirected,1
1682246,1710259,Undirected,2
1682383,3113442,Undirected,11
1682383,29824845,Undirected,2
1682383,150358650,Undirected,8
1682385,1784472,Undirected,1
1682385,2281907225,Undirected,1
1682385,2283207460,Undirected,3
1682418,2145225543,Undirected,3
1682471,2969311,Undirected,1
1682581,1797584,Undirected,1
1682581,144547425,Undirected,5
1682581,152972535,Undirected,1
1682631,1737063,Undirected,1
1682745,145729210,Undirected,1
1682792,1727814,Undirected,2
1682835,1699526,Undirected,2
1682835,1700161,Undirected,1
1682835,1702231,Undirected,1
1682835,1722151,Undirected,2
1682835,1730491,Undirected,1
1682835,1730585,Undirected,3
1682835,1731770,Undirected,1
1682835,1762640,Undirected,3
1682835,1765453,Undirected,1
1682835,1791875,Undirected,5
1682835,1792465,Undirected,1
1682835,1794528,Undirected,3
1682835,1801854,Undirected,2
1682835,1807974,Undirected,1
1682835,1890827,Undirected,1
1682835,1918877,Undirected,1
1682835,2088440,Undirected,2
1682835,2092692,Undirected,1
1682835,2217213,Undirected,1
1682835,2309615,Undirected,5
1682835,2313537,Undirected,2
1682835,2331656,Undirected,2
1682835,2352800,Undirected,1
1682835,2404606,Undirected,1
1682835,2438913,Undirected,1
1682835,2534699,Undirected,2
1682835,2665610,Undirected,1
1682835,2670615,Undirected,1
1682835,2870502,Undirected,1
1682835,2927386,Undirected,1
1682835,3013777,Undirected,1
1682835,3139779,Undirected,1
1682835,3226100,Undirected,1
1682835,3290758,Undirected,6
1682835,3359398,Undirected,1
1682835,3404281,Undirected,11
1682835,3522456,Undirected,2
1682835,8686401,Undirected,9
1682835,9288759,Undirected,9
1682835,15475086,Undirected,1
1682835,20612239,Undirected,1
1682835,30091397,Undirected,5
1682835,34567340,Undirected,4
1682835,35164061,Undirected,1
1682835,46200263,Undirected,4
1682835,47068315,Undirected,1
1682835,48707981,Undirected,23
1682835,50017979,Undirected,1
1682835,50305951,Undirected,1
1682835,50356391,Undirected,2
1682835,51054065,Undirected,1
1682835,51131704,Undirected,1
1682835,51954349,Undirected,3
1682835,65895623,Undirected,13
1682835,66149346,Undirected,2
1682835,88725947,Undirected,1
1682835,88726805,Undirected,1
1682835,103693141,Undirected,1
1682835,104262981,Undirected,1
1682835,114212373,Undirected,1
1682835,115212908,Undirected,1
1682835,120876096,Undirected,5
1682835,143676697,Undirected,1
1682835,143833035,Undirected,1
1682835,143868490,Undirected,16
1682835,144440932,Undirected,1
1682835,144474509,Undirected,1
1682835,144938187,Undirected,2
1682835,145026954,Undirected,2
1682835,145326535,Undirected,1
1682835,145746046,Undirected,3
1682835,145805552,Undirected,4
1682835,145938056,Undirected,3
1682835,152274352,Undirected,1
1682835,152806555,Undirected,1
1682835,1395885887,Undirected,1
1682835,1395885901,Undirected,1
1682835,1659109392,Undirected,1
1682835,1703121122,Undirected,2
1682835,2042484083,Undirected,1
1682835,2053309033,Undirected,2
1682835,2057485714,Undirected,2
1682835,2064790826,Undirected,1
1682835,2082288749,Undirected,1
1682835,2086118781,Undirected,1
1682835,2087060469,Undirected,1
1682835,2094595224,Undirected,1
1682835,2112879828,Undirected,1
1682835,2117804993,Undirected,2
1682835,2122331582,Undirected,4
1682835,2126894184,Undirected,5
1682835,2149483128,Undirected,1
1682835,2152689428,Undirected,1
1682835,2164037015,Undirected,4
1682835,2180096589,Undirected,2
1682835,2192561119,Undirected,1
1682835,2265509623,Undirected,2
1682835,2284371446,Undirected,1
1682835,2336735863,Undirected,2
1683070,1388726511,Undirected,3
1683292,2141316157,Undirected,3
1683647,50318386,Undirected,1
1683647,145784853,Undirected,2
1683723,2969311,Undirected,1
1683772,1770172,Undirected,1
1684547,2740804,Undirected,1
1684771,145967056,Undirected,2
1684820,2580005,Undirected,2
1684820,3315009,Undirected,1
1684820,40067519,Undirected,4
1684820,2088953767,Undirected,1
1684837,1773997,Undirected,2
1684883,144344283,Undirected,2
1684883,145944286,Undirected,1
1684988,10685934,Undirected,1
1685023,145967056,Undirected,1
1685292,2056141939,Undirected,1
1685407,144344283,Undirected,6
1685603,3344254,Undirected,3
1685603,2145225543,Undirected,1
1685606,2108267457,Undirected,1
1685807,1759256,Undirected,1
1686007,80480773,Undirected,2
1686093,47299120,Undirected,1
1686093,47829900,Undirected,1
1686093,2381580561,Undirected,1
1686120,145967056,Undirected,1
1686269,143902023,Undirected,1
1686924,145729210,Undirected,1
1687161,2258678973,Undirected,5
1687524,3331786,Undirected,4
1687723,33411132,Undirected,10
1688015,38144094,Undirected,1
1688015,2381580561,Undirected,1
1688021,145967056,Undirected,27
1688257,2999829,Undirected,1
1688257,10685934,Undirected,1
1688304,1731770,Undirected,1
1688317,1745169,Undirected,1
1688323,20658113,Undirected,2
1688330,35118626,Undirected,1
1688527,2969311,Undirected,4
1688527,48814663,Undirected,1
1688603,1727814,Undirected,1
1688603,145967056,Undirected,2
1688652,1727814,Undirected,1
1688787,145967056,Undirected,2
1688882,1773498,Undirected,1
1688882,1798880,Undirected,2
1688974,143615345,Undirected,4
1689198,1803012,Undirected,3
1689289,3331786,Undirected,1
1689289,145967056,Undirected,1
1689432,1727814,Undirected,2
1689530,47095791,Undirected,1
1689537,1731770,Undirected,2
1689774,1745169,Undirected,1
1689973,9534148,Undirected,1
1689973,25681050,Undirected,2
1689973,32986498,Undirected,1
1689973,34478336,Undirected,1
1689973,35459687,Undirected,1
1689973,46495012,Undirected,1
1689973,47166531,Undirected,1
1689973,47281276,Undirected,2
1689973,49203555,Undirected,1
1689973,66099712,Undirected,1
1689973,66577264,Undirected,1
1689973,88728907,Undirected,1
1689973,120219716,Undirected,1
1689973,122145841,Undirected,1
1689973,145081804,Undirected,1
1689973,1403355755,Undirected,1
1689973,1476916588,Undirected,1
1689973,1657830980,Undirected,1
1689973,2127934461,Undirected,1
1689973,2145801622,Undirected,1
1689992,1745169,Undirected,1
1689992,49988044,Undirected,5
1689992,144344283,Undirected,7
1689992,2066974703,Undirected,3
1689992,2258678973,Undirected,3
1689992,2316152845,Undirected,6
1690452,2577481,Undirected,1
1690452,77327149,Undirected,1
1690644,2122564258,Undirected,1
1690653,1737063,Undirected,1
1690660,1731770,Undirected,1
1690660,2479013,Undirected,2
1691155,2115665083,Undirected,1
1691402,1696085,Undirected,2
1691402,1713217,Undirected,1
1691997,2969311,Undirected,8
1692443,2108327687,Undirected,1
1692768,3137672,Undirected,2
1692768,3331786,Undirected,2
1692982,4677813,Undirected,2
1693004,145967056,Undirected,1
1693109,143615345,Undirected,1
1693135,2265578799,Undirected,2
1693287,145967056,Undirected,2
1693363,1797584,Undirected,11
1693363,40899758,Undirected,5
1693389,145967056,Undirected,1
1693407,33747720,Undirected,1
1693428,2166511,Undirected,4
1693428,2228109,Undirected,6
1693428,40520460,Undirected,2
1693428,49988044,Undirected,1
1693894,1696085,Undirected,4
1693894,1731770,Undirected,1
1693894,1985955,Undirected,1
1693894,2265578799,Undirected,11
1694043,49596260,Undirected,1
1694129,38144094,Undirected,1
1694268,1759256,Undirected,2
1694389,3179069,Undirected,1
1694389,145944286,Undirected,1
1694651,145967056,Undirected,1
1694826,2166511,Undirected,1
1694826,2228109,Undirected,1
1694936,47829900,Undirected,1
1694991,2744465,Undirected,1
1695217,2258678973,Undirected,1
1695415,2001172,Undirected,2
1696085,1698041,Undirected,7
1696085,1702137,Undirected,3
1696085,1705102,Undirected,1
1696085,1710879,Undirected,1
1696085,1712535,Undirected,1
1696085,1713217,Undirected,1
1696085,1720003,Undirected,1
1696085,1721319,Undirected,3
1696085,1722063,Undirected,1
1696085,1726802,Undirected,2
1696085,1737574,Undirected,4
1696085,1740591,Undirected,6
1696085,1741922,Undirected,2
1696085,1754767,Undirected,4
1696085,1758275,Undirected,3
1696085,1774493,Undirected,1
1696085,1775407,Undirected,1
1696085,1780468,Undirected,3
1696085,1790944,Undirected,1
1696085,1799519,Undirected,3
1696085,1799820,Undirected,3
1696085,1799995,Undirected,1
1696085,1802507,Undirected,5
1696085,1808676,Undirected,2
1696085,1819830,Undirected,2
1696085,1837309,Undirected,20
1696085,1846419,Undirected,3
1696085,1860631,Undirected,3
1696085,1868195,Undirected,37
1696085,1873736,Undirected,1
1696085,1874774,Undirected,1
1696085,1961238,Undirected,1
1696085,1981423,Undirected,1
1696085,2006610,Undirected,2
1696085,2047844,Undirected,3
1696085,2049284,Undirected,1
1696085,2068265,Undirected,8
1696085,2072248,Undirected,1
1696085,2075371,Undirected,1
1696085,2082417,Undirected,6
1696085,2088250,Undirected,1
1696085,2103970,Undirected,1
1696085,2127178,Undirected,13
1696085,2130392,Undirected,1
1696085,2150624,Undirected,1
1696085,2178889,Undirected,1
1696085,2182459,Undirected,5
1696085,2204612,Undirected,3
1696085,2228109,Undirected,1
1696085,2238311,Undirected,2
1696085,2238841,Undirected,1
1696085,2260812,Undirected,1
1696085,2316494,Undirected,5
1696085,2317823,Undirected,1
1696085,2360966,Undirected,2
1696085,2457874,Undirected,1
1696085,2460526,Undirected,11
1696085,2482221,Undirected,2
1696085,2490652,Undirected,1
1696085,2496960,Undirected,3
1696085,2515457,Undirected,3
1696085,2525567,Undirected,1
1696085,2542753,Undirected,4
1696085,2546322,Undirected,7
1696085,2554276,Undirected,2
1696085,2688276,Undirected,1
1696085,2704814,Undirected,1
1696085,2770912,Undirected,1
1696085,2836907,Undirected,2
1696085,2931554,Undirected,1
1696085,2991808,Undirected,2
1696085,3025260,Undirected,1
1696085,3045089,Undirected,1
1696085,3088529,Undirected,1
1696085,3144452,Undirected,1
1696085,3173667,Undirected,1
1696085,3175946,Undirected,2
1696085,3179069,Undirected,6
1696085,3198259,Undirected,1
1696085,3303970,Undirected,3
1696085,3414706,Undirected,8
1696085,3422021,Undirected,1
1696085,3426528,Undirected,4
1696085,3445325,Undirected,1
1696085,3445327,Undirected,1
1696085,3448899,Undirected,1
1696085,3451341,Undirected,1
1696085,3886207,Undirected,1
1696085,3895596,Undirected,2
1696085,5170379,Undirected,1
1696085,5716768,Undirected,15
1696085,6314087,Undirected,4
1696085,7581635,Undirected,1
1696085,7808060,Undirected,2
1696085,7880672,Undirected,1
1696085,7987394,Undirected,2
1696085,8383806,Undirected,4
1696085,8386952,Undirected,3
1696085,8559138,Undirected,2
1696085,8581826,Undirected,3
1696085,8681368,Undirected,1
