Id,Label,Layer,Affiliation,Subjects,Applications
1414099319,&#x00C2;ndrei Camponogara,2.0,"The Chinese University of Hong Kong, Shenzhen (Inferred)","['Optimization', 'Probability']","['Pure Theory', 'Networks/Telecommunications']"
1422426196,'. Gonz'alez,2.0,Princeton University (Inferred),"['Probability', 'Game Theory']","['Pure Theory', 'Public Policy']"
2226784417,'Alex Hern'andez-Garc'ia,2.0,"Mila Quebec AI Institute, Fraunhofer ITWM (Inferred)",[],[]
2130393980,A. A.,2.0,Google (Inferred),[],[]
40804344,A. A. Abello,2.0,University of Texas at Austin (Inferred),[],[]
2279991970,A. A. Macias,2.0,Princeton University (Inferred),"['Probability', 'Statistics and Machine Learning (ML)']","['Public Policy', 'Healthcare']"
2248826943,A. A. Nasir,2.0,"The Chinese University of Hong Kong, Shenzhen (Inferred)","['Probability', 'Statistics and Machine Learning (ML)']","['Networks/Telecommunications', 'Energy']"
3090742,A. A. Purwita,2.0,"The Chinese University of Hong Kong, Shenzhen (Inferred)",[],[]
31142757,A. A. Shishavan,2.0,UC Berkeley (Inferred),"['Probability', 'Optimization']","['Energy', 'Public Policy']"
8350284,A. Abdelfattah,2.0,Princeton University (Inferred),"['Probability', 'Optimization']","['Pure Theory', 'Public Policy']"
2799799,A. Abdolmaleki,2.0,DeepMind (Inferred),[],[]
1802248,A. Abdulkadiroglu,2.0,Princeton University (Inferred),"['Probability', 'Game Theory']","['Public Policy', 'Pure Theory']"
145748520,A. Acharya,2.0,Google (Inferred),"['Probability', 'Game Theory']","['Healthcare', 'Networks/Telecommunications']"
2292609489,A. Acramel,2.0,University of California Santa Barbara (Inferred),[],[]
15834353,A. Adedeji,2.0,Google (Inferred),"['Game Theory', 'Probability']","['Energy', 'Pure Theory']"
74510576,A. Adediran,2.0,Google (Inferred),"['Probability', 'Game Theory']","['Pure Theory', 'Public Policy']"
6514642,A. Aftab,2.0,Google (Inferred),"['Probability', 'Statistics and Machine Learning (ML)']","['Healthcare', 'Public Policy']"
1696487,A. Agarwala,2.0,University of Texas at Austin (Inferred),"['Statistics and Machine Learning (ML)', 'Probability']","['Pure Theory', 'Networks/Telecommunications']"
2161924444,A. Aghazada,2.0,Google (Inferred),[],[]
2620245,A. Aiello,2.0,UNC-Chapel Hill (Inferred),"['Optimization', 'Probability']","['Public Policy', 'Natural Language Processing']"
66423399,A. Akhavanallaf,2.0,Princeton University (Inferred),"['Probability', 'Statistics and Machine Learning (ML)']","['Pure Theory', 'Healthcare']"
2307511372,A. Al-Temimi,2.0,Google (Inferred),[],[]
48051840,A. Alazizi,2.0,University of California -- Los Angeles (Inferred),"['Probability', 'Optimization']","['Natural Language Processing', 'Networks/Telecommunications']"
1743465,A. Aldroubi,2.0,Princeton University (Inferred),[],[]
47837290,A. Alesina,2.0,Princeton University (Inferred),"['Probability', 'Game Theory']","['Public Policy', 'Natural Language Processing']"
52202637,A. Alho,2.0,ETH Zurich (Inferred),[],[]
49153673,A. Alonso,2.0,Stanford University (Inferred),"['Probability', 'Statistics and Machine Learning (ML)']","['Natural Language Processing', 'Pure Theory']"
2266509089,A. Anderson,2.0,Princeton University (Inferred),"['Statistics and Machine Learning (ML)', 'Probability']","['Energy', 'Pure Theory']"
152437582,A. Andronic,2.0,Princeton University (Inferred),[],[]
145426908,A. Angelova,2.0,UC Berkeley (Inferred),"['Probability', 'Statistics and Machine Learning (ML)']","['Natural Language Processing', 'Public Policy']"
2240069197,A. Ansari,2.0,Google (Inferred),"['Probability', 'Game Theory']","['Energy', 'Natural Language Processing']"
5607327,A. Antela,2.0,Princeton University (Inferred),"['Probability', 'Game Theory']","['Public Policy', 'Healthcare']"
143930552,A. Arafa,2.0,"The Chinese University of Hong Kong, Shenzhen (Inferred)","['Probability', 'Statistics and Machine Learning (ML)']","['Public Policy', 'Pure Theory']"
20782770,A. Arshad,2.0,Hong Kong University of Science and Technology (Inferred),"['Probability', 'Statistics and Machine Learning (ML)']","['Natural Language Processing', 'Public Policy']"
2153903,A. Artacho,2.0,Princeton University (Inferred),[],[]
144055623,A. Artemiou,2.0,University of Cambridge (Inferred),"['Probability', 'Optimization']","['Pure Theory', 'Public Policy']"
11741414,A. Asarkar,2.0,Stanford University (Inferred),"['Probability', 'Game Theory']","['Healthcare', 'Public Policy']"
2132640025,A. Atindana,2.0,Princeton University (Inferred),"['Probability', 'Statistics and Machine Learning (ML)']","['Pure Theory', 'Public Policy']"
48264320,A. Atta,2.0,Google (Inferred),[],[]
2220938766,A. Auvergne,2.0,University of California -- Los Angeles (Inferred),"['Probability', 'Optimization']","['Pure Theory', 'Networks/Telecommunications']"
4678187,A. Avihingsanon,2.0,Princeton University (Inferred),"['Probability', 'Optimization']","['Pure Theory', 'Natural Language Processing']"
2686565,A. Awasthi,2.0,Google (Inferred),"['Probability', 'Game Theory']","['Public Policy', 'Healthcare']"
3032988,A. Azad,2.0,Princeton University (Inferred),"['Probability', 'Statistics and Machine Learning (ML)']","['Pure Theory', 'Robotics']"
2088250,A. Babuscia,2.0,Technical University of Munich (Inferred),"['Probability', 'Optimization']","['Natural Language Processing', 'Networks/Telecommunications']"
143642017,A. Bagrodia,2.0,UC Berkeley (Inferred),"['Probability', 'Optimization']","['Healthcare', 'Natural Language Processing']"
3117588,A. Balakrishna,2.0,UC Berkeley (Inferred),"['Statistics and Machine Learning (ML)', 'Probability']","['Robotics', 'Public Policy']"
12377816,A. Bandela,2.0,Shanghai University of Finance and Economics (Inferred),"['Probability', 'Optimization']","['Energy', 'Natural Language Processing']"
2263541833,A. Barnes,2.0,Princeton University (Inferred),[],[]
102586810,A. Barrasso,2.0,Princeton University (Inferred),"['Probability', 'Statistics and Machine Learning (ML)']","['Networks/Telecommunications', 'Supply Chain/Revenue Management']"
20658113,A. Barron,1.0,Princeton University (Inferred),"['Probability', 'Game Theory']","['Pure Theory', 'Energy']"
2052214064,A. Basu,2.0,Princeton University (Inferred),"['Probability', 'Game Theory']","['Healthcare', 'Public Policy']"
1705102,A. Bayen,2.0,Princeton University (Inferred),"['Probability', 'Optimization']","['Transportation/Logistics', 'Robotics']"
2673179,A. Behn,2.0,Stanford University (Inferred),"['Probability', 'Game Theory']","['Healthcare', 'Pure Theory']"
46817751,A. Belenky,1.0,Princeton University (Inferred),"['Optimization', 'Probability']","['Public Policy', 'Pure Theory']"
46714535,A. Belloni,2.0,Harvard University (Inferred),"['Probability', 'Statistics and Machine Learning (ML)']","['Pure Theory', 'Natural Language Processing']"
32727961,A. Bellotti,2.0,UNC-Chapel Hill (Inferred),"['Probability', 'Statistics and Machine Learning (ML)']","['Pure Theory', 'Public Policy']"
1759256,A. Bemporad,1.0,IMT School for Advanced Studies Lucca (Inferred),"['Probability', 'Statistics and Machine Learning (ML)']","['Pure Theory', 'Robotics']"
1792368,A. Benavoli,2.0,IMT School for Advanced Studies Lucca (Inferred),"['Probability', 'Statistics and Machine Learning (ML)']","['Public Policy', 'Robotics']"
3210334,A. Berahas,2.0,Princeton University (Inferred),"['Probability', 'Optimization']","['Pure Theory', 'Public Policy']"
2078314829,A. Beresñak,2.0,Princeton University (Inferred),"['Statistics and Machine Learning (ML)', 'Optimization']","['Robotics', 'Healthcare']"
39668247,A. Berg,2.0,Stanford University (Inferred),"['Probability', 'Statistics and Machine Learning (ML)']","['Pure Theory', 'Public Policy']"
